id                                   ; target_temperature ; source_temperature ; max_power ; cop
a5ec7925-b072-4bfd-ba1a-4e3c208f7a48 ;35;-15;16.3;3
a5ec7925-b072-4bfd-ba1a-4e3c208f7a48 ;35;30;24.5;4.3
a5ec7925-b072-4bfd-ba1a-4e3c208f7a48 ;55;-5;15.1;1.9
a5ec7925-b072-4bfd-ba1a-4e3c208f7a48 ;55;40;22.1;4
fae0f236-fadb-4b58-9483-58746e94a7b8 ;35;-20;20;2.09
fae0f236-fadb-4b58-9483-58746e94a7b8 ;35;-7;25;2.91
fae0f236-fadb-4b58-9483-58746e94a7b8 ;35;2;17;4.41
fae0f236-fadb-4b58-9483-58746e94a7b8 ;35;20;27.2;7.47
fae0f236-fadb-4b58-9483-58746e94a7b8 ;45;-20;18.6;1.8
fae0f236-fadb-4b58-9483-58746e94a7b8 ;45;-7;27.9;2.46
fae0f236-fadb-4b58-9483-58746e94a7b8 ;45;2;16.4;3.52
fae0f236-fadb-4b58-9483-58746e94a7b8 ;45;20;26.5;6.12
fae0f236-fadb-4b58-9483-58746e94a7b8 ;55;-20;15.9;1.8
fae0f236-fadb-4b58-9483-58746e94a7b8 ;55;-7;27.8;2.28
fae0f236-fadb-4b58-9483-58746e94a7b8 ;55;2;16.3;2.94
fae0f236-fadb-4b58-9483-58746e94a7b8 ;55;20;25.5;4.86
fae0f236-fadb-4b58-9483-58746e94a7b8 ;65;-15;19.1;1.78
fae0f236-fadb-4b58-9483-58746e94a7b8 ;65;-7;23.8;1.85
fae0f236-fadb-4b58-9483-58746e94a7b8 ;65;2;15.4;2.07
fae0f236-fadb-4b58-9483-58746e94a7b8 ;65;20;24.7;3.7
fae0f236-fadb-4b58-9483-58746e94a7b8 ;70;2;15.6;1.91
fae0f236-fadb-4b58-9483-58746e94a7b8 ;70;10;20.3;2.45
fae0f236-fadb-4b58-9483-58746e94a7b8 ;70;20;24.8;3.28
315f5bfd-68f6-4100-b60b-c980c865c86f ;35;-15;70;2.68
315f5bfd-68f6-4100-b60b-c980c865c86f ;35;0;145;3.66
315f5bfd-68f6-4100-b60b-c980c865c86f ;35;10;194;5.36
315f5bfd-68f6-4100-b60b-c980c865c86f ;45;-15;50;2.36
315f5bfd-68f6-4100-b60b-c980c865c86f ;45;0;130;3.38
315f5bfd-68f6-4100-b60b-c980c865c86f ;45;25;230;5.46
315f5bfd-68f6-4100-b60b-c980c865c86f ;55;-15;52;2.06
315f5bfd-68f6-4100-b60b-c980c865c86f ;55;0;117;2.85
315f5bfd-68f6-4100-b60b-c980c865c86f ;55;25;231;4.38
315f5bfd-68f6-4100-b60b-c980c865c86f ;65;0;104;2.4
315f5bfd-68f6-4100-b60b-c980c865c86f ;65;10;158;2.9
315f5bfd-68f6-4100-b60b-c980c865c86f ;65;25;210;3.5
